MU,OPT_USED,N2,T0,F0,F_AVG,F_MIN,F_MAX,AVG_BEST_AT,MIN_BEST_AT,MAX_BEST_AT,INIT_NB_TRUCKS,AVG_NB_TRUCKS,MIN_NB_TRUCKS,MAX_NB_TRUCKS,AVG_EXEC_T,MIN_EXEC_T,MAX_EXEC_T
0.96,R,1000,40,1006.545039124075,395.66089877498064,395.66089877498064,395.66089877498064,12717.0,12717,12717,6,4.0,4,4,45988755100.0,45988755100,45988755100
0.96,R,1000,50,1058.2991203067847,399.63501546963846,399.63501546963846,399.63501546963846,9559.0,9559,9559,7,3.0,3,3,768137418100.0,768137418100,768137418100
0.96,R,1000,60,979.5649613855014,361.9758066527561,361.9758066527561,361.9758066527561,11934.0,11934,11934,6,3.0,3,3,55626185300.0,55626185300,55626185300
0.96,R,1000,70,952.9583454710281,405.60789518495267,405.60789518495267,405.60789518495267,15101.0,15101,15101,6,4.0,4,4,47142316800.0,47142316800,47142316800
0.96,R,1000,80,1076.3110568279524,394.29458209843824,394.29458209843824,394.29458209843824,16962.0,16962,16962,7,4.0,4,4,48427113300.0,48427113300,48427113300
0.96,R,1000,90,1061.9595867829516,398.4910067739297,398.4910067739297,398.4910067739297,13853.0,13853,13853,7,4.0,4,4,46966914700.0,46966914700,46966914700
0.96,R,1000,100,879.0916975517646,361.0346759717689,361.0346759717689,361.0346759717689,13474.0,13474,13474,6,3.0,3,3,54283603000.0,54283603000,54283603000
0.96,R,1000,150,964.1383655616733,364.73700424544825,364.73700424544825,364.73700424544825,12768.0,12768,12768,6,3.0,3,3,73219938900.0,73219938900,73219938900
0.96,R,1000,200,1011.3052900307766,396.1838875895419,396.1838875895419,396.1838875895419,14141.0,14141,14141,6,3.0,3,3,62203593500.0,62203593500,62203593500
0.96,R,1000,300,967.6299133466304,403.1159582635829,403.1159582635829,403.1159582635829,15203.0,15203,15203,6,4.0,4,4,49374997400.0,49374997400,49374997400
0.96,R,1000,400,1033.2730117948204,369.86043999318224,369.86043999318224,369.86043999318224,14665.0,14665,14665,6,3.0,3,3,60343393600.0,60343393600,60343393600
0.96,R,1000,500,1099.71805464006,406.40616285449437,406.40616285449437,406.40616285449437,15429.0,15429,15429,7,4.0,4,4,53060886300.0,53060886300,53060886300
0.96,R,1000,1000,969.5970214908049,414.2877190834773,414.2877190834773,414.2877190834773,18798.0,18798,18798,6,4.0,4,4,49097838700.0,49097838700,49097838700
0.96,RS,1000,3,961.8079559204883,358.37230256826217,358.37230256826217,358.37230256826217,4720.0,4720,4720,6,3.0,3,3,51850872700.0,51850872700,51850872700
0.96,RS,1000,4,959.1153232637579,395.66089877498064,395.66089877498064,395.66089877498064,6858.0,6858,6858,6,4.0,4,4,41981850300.0,41981850300,41981850300
0.96,RS,1000,5,955.0379824044862,398.4910067739297,398.4910067739297,398.4910067739297,12783.0,12783,12783,6,4.0,4,4,42043726000.0,42043726000,42043726000
0.96,RS,1000,6,942.0385405858034,367.1980665896755,367.1980665896755,367.1980665896755,8432.0,8432,8432,6,3.0,3,3,61933119400.0,61933119400,61933119400
0.96,RS,1000,7,1144.0556644254734,398.53386429790737,398.53386429790737,398.53386429790737,10301.0,10301,10301,7,4.0,4,4,43159235000.0,43159235000,43159235000
0.96,RS,1000,8,1008.7865019781248,358.37230256826217,358.37230256826217,358.37230256826217,6381.0,6381,6381,6,3.0,3,3,50958476700.0,50958476700,50958476700
0.96,RS,1000,9,1058.1814740822524,398.53386429790737,398.53386429790737,398.53386429790737,13834.0,13834,13834,7,4.0,4,4,42832804600.0,42832804600,42832804600
0.96,RS,1000,10,1013.6758525708958,400.4168308096023,400.4168308096023,400.4168308096023,13818.0,13818,13818,6,4.0,4,4,42721156900.0,42721156900,42721156900
0.96,RS,1000,15,1108.8092270084803,400.4168308096023,400.4168308096023,400.4168308096023,10998.0,10998,10998,7,4.0,4,4,43282979000.0,43282979000,43282979000
0.96,RS,1000,20,1037.1879334446444,361.1335001609543,361.1335001609543,361.1335001609543,10055.0,10055,10055,6,3.0,3,3,59570778800.0,59570778800,59570778800
0.96,RS,1000,25,966.9662546577838,398.53386429790737,398.53386429790737,398.53386429790737,11349.0,11349,11349,6,4.0,4,4,44917370600.0,44917370600,44917370600
0.96,RS,1000,30,967.1851646279106,361.1335001609543,361.1335001609543,361.1335001609543,9716.0,9716,9716,6,3.0,3,3,53208040800.0,53208040800,53208040800
0.96,RS,1000,40,1021.1812675357879,367.57885818399586,367.57885818399586,367.57885818399586,11419.0,11419,11419,6,3.0,3,3,60556841500.0,60556841500,60556841500
0.96,RS,1000,50,908.7819566335444,394.29458209843824,394.29458209843824,394.29458209843824,18378.0,18378,18378,6,4.0,4,4,46490353900.0,46490353900,46490353900
0.96,RS,1000,60,1023.1835105517051,395.66089877498064,395.66089877498064,395.66089877498064,15616.0,15616,15616,6,4.0,4,4,46575238600.0,46575238600,46575238600
0.96,RS,1000,70,943.0397081012096,406.5049870436799,406.5049870436799,406.5049870436799,21386.0,21386,21386,6,4.0,4,4,46375198900.0,46375198900,46375198900
0.96,RS,1000,80,973.1053301112788,400.4168308096023,400.4168308096023,400.4168308096023,20801.0,20801,20801,6,4.0,4,4,46135162000.0,46135162000,46135162000
0.96,RS,1000,90,946.3214860016932,400.8504823656158,400.8504823656158,400.8504823656158,14299.0,14299,14299,6,3.0,3,3,63995836800.0,63995836800,63995836800
0.96,RS,1000,100,996.1070931371851,405.50662796109395,405.50662796109395,405.50662796109395,13953.0,13953,13953,6,4.0,4,4,48508284800.0,48508284800,48508284800
0.96,RS,1000,150,993.5911464919179,395.66089877498064,395.66089877498064,395.66089877498064,15968.0,15968,15968,6,4.0,4,4,46737616700.0,46737616700,46737616700
0.96,RS,1000,200,958.201937182664,400.49577498230553,400.49577498230553,400.49577498230553,15146.0,15146,15146,6,4.0,4,4,48428481100.0,48428481100,48428481100
0.96,RS,1000,300,1099.647985888914,395.66089877498064,395.66089877498064,395.66089877498064,18821.0,18821,18821,7,4.0,4,4,47457687100.0,47457687100,47457687100
0.96,RS,1000,400,956.442258787426,368.48206270521086,368.48206270521086,368.48206270521086,14998.0,14998,14998,6,3.0,3,3,55015161800.0,55015161800,55015161800
0.96,RS,1000,500,1102.0560281661456,371.0752454368996,371.0752454368996,371.0752454368996,16270.0,16270,16270,7,3.0,3,3,60694844400.0,60694844400,60694844400
0.96,RS,1000,1000,1136.5899924128282,400.11764556729054,400.11764556729054,400.11764556729054,16444.0,16444,16444,7,4.0,4,4,49457954100.0,49457954100,49457954100
0.96,RE,1000,3,1044.844487961908,358.37230256826217,358.37230256826217,358.37230256826217,6077.0,6077,6077,6,3.0,3,3,59548419500.0,59548419500,59548419500
0.96,RE,1000,4,1022.3200726917223,407.4442368527019,407.4442368527019,407.4442368527019,2160.0,2160,2160,6,3.0,3,3,67702175500.0,67702175500,67702175500
0.96,RE,1000,5,1006.665192361416,391.1469466248709,391.1469466248709,391.1469466248709,2999.0,2999,2999,6,3.0,3,3,54784207000.0,54784207000,54784207000
0.96,RE,1000,6,969.2174910385797,368.42751191673483,368.42751191673483,368.42751191673483,9246.0,9246,9246,6,3.0,3,3,73516414800.0,73516414800,73516414800
0.96,RE,1000,7,1038.8028396673567,422.21371319310066,422.21371319310066,422.21371319310066,8247.0,8247,8247,6,3.0,3,3,74095817200.0,74095817200,74095817200
0.96,RE,1000,8,959.5060407714308,361.0346759717689,361.0346759717689,361.0346759717689,8019.0,8019,8019,6,3.0,3,3,61529520600.0,61529520600,61529520600
0.96,RE,1000,9,1057.65659120161,381.82497795630877,381.82497795630877,381.82497795630877,7861.0,7861,7861,7,3.0,3,3,60951880500.0,60951880500,60951880500
0.96,RE,1000,10,1170.3039223180663,361.1335001609543,361.1335001609543,361.1335001609543,9676.0,9676,9676,7,3.0,3,3,62886779800.0,62886779800,62886779800
0.96,RE,1000,15,1082.0776598474938,361.1335001609543,361.1335001609543,361.1335001609543,9468.0,9468,9468,7,3.0,3,3,64339545600.0,64339545600,64339545600
0.96,RE,1000,20,971.7575059414562,387.51415793563285,387.51415793563285,387.51415793563285,10333.0,10333,10333,6,3.0,3,3,74878501900.0,74878501900,74878501900
0.96,RE,1000,25,983.722215862522,365.49142276407883,365.49142276407883,365.49142276407883,12689.0,12689,12689,6,3.0,3,3,68207072200.0,68207072200,68207072200
0.96,RE,1000,30,1034.1663654727752,375.88284586769976,375.88284586769976,375.88284586769976,10757.0,10757,10757,6,3.0,3,3,61624046200.0,61624046200,61624046200
0.96,RE,1000,40,945.7817778618389,361.1335001609543,361.1335001609543,361.1335001609543,12036.0,12036,12036,6,3.0,3,3,67413141400.0,67413141400,67413141400
0.96,RE,1000,50,1022.3607569436124,397.39560995701686,397.39560995701686,397.39560995701686,14159.0,14159,14159,6,3.0,3,3,75223235200.0,75223235200,75223235200
0.96,RE,1000,60,1040.4641346077287,358.37230256826217,358.37230256826217,358.37230256826217,12139.0,12139,12139,7,3.0,3,3,68360042800.0,68360042800,68360042800
0.96,RE,1000,70,1008.3065474394718,418.208625623854,418.208625623854,418.208625623854,16957.0,16957,16957,6,3.0,3,3,63821333500.0,63821333500,63821333500
0.96,RE,1000,80,910.2923673049481,397.7453563116161,397.7453563116161,397.7453563116161,14468.0,14468,14468,6,3.0,3,3,61940195500.0,61940195500,61940195500
0.96,RE,1000,90,850.0500832645022,432.4153797225731,432.4153797225731,432.4153797225731,13317.0,13317,13317,6,3.0,3,3,63607977100.0,63607977100,63607977100
0.96,RE,1000,100,1100.9990105948946,429.4110210423317,429.4110210423317,429.4110210423317,14130.0,14130,14130,7,3.0,3,3,67593086000.0,67593086000,67593086000
0.96,RE,1000,150,1065.2006451636962,358.37230256826217,358.37230256826217,358.37230256826217,14830.0,14830,14830,7,3.0,3,3,75269110400.0,75269110400,75269110400
0.96,RE,1000,200,976.1458852611164,399.45752169397383,399.45752169397383,399.45752169397383,14028.0,14028,14028,6,3.0,3,3,68951079600.0,68951079600,68951079600
0.96,RE,1000,300,928.5028396554121,390.7614657917474,390.7614657917474,390.7614657917474,18208.0,18208,18208,6,3.0,3,3,71238417300.0,71238417300,71238417300
0.96,RE,1000,400,923.4757674630862,365.5902469532642,365.5902469532642,365.5902469532642,14438.0,14438,14438,6,3.0,3,3,76982754300.0,76982754300,76982754300
